Lifetime,Time
820,1599168381.32
1960,1599169884.58
3360,1599169917.51
800,1599171175.74
2680,1599171821.77
1240,1599172034.98
1960,1599173858.87
180,1599174453.45
2820,1599174638.38
960,1599176775.17
940,1599176880.35
80,1599176938.31
380,1599178210.48
800,1599179516.81
1160,1599180607.64
2100,1599181178.03
6720,1599181453.11
10480,1599182515.9
9200,1599182734.2
12960,1599182761.36
380,1599183388.58
1860,1599183613.3
1580,1599184055.32
1440,1599184333.8
1280,1599186055.38
4740,1599186338.48
620,1599186561.86
2080,1599188686.04
260,1599188905.12
3140,1599189041.34
1980,1599190382.16
2420,1599192099.17
160,1599193305.84
800,1599193471.42
120,1599193699.8
120,1599193758.31
7820,1599194318.79
4060,1599195353.83
4800,1599195445.66
40,1599195484.54
280,1599196179.35
240,1599197056.39
5740,1599197300.47
300,1599197748.1
2380,1599198844.44
1080,1599199886.85
5620,1599200317.51
160,1599201234.66
1800,1599201245.93
460,1599202597.42
3760,1599204037.22
1240,1599204718.24
1920,1599205174.73
3440,1599205916.92
60,1599206509.6
5400,1599206599.28
580,1599206616.36
2800,1599207373.87
4200,1599208316.73
4120,1599208420.87
4160,1599209910.86
4780,1599210243.94
1400,1599210390.64
760,1599210497.17
1400,1599211274.29
500,1599211744.78
140,1599212051.65
2200,1599213305.49
6500,1599214217.95
3100,1599214257.23
480,1599214804.98
1220,1599215912.51
220,1599216704.17
1700,1599217417.19
5960,1599218163.33
2280,1599218936.82
300,1599219433.41
2600,1599220137.98
3680,1599220262.07
380,1599221503.36
980,1599222905.04
2980,1599224643.17
620,1599226933.71
1340,1599227233.46
2840,1599228117.33
440,1599229504.37
740,1599232403.68
400,1599232598.33
1060,1599232726.85
2120,1599234555.5
380,1599234803.77
2500,1599235013.41
2860,1599236141.54
2200,1599236614.76
700,1599236636.0
4080,1599236831.7
4960,1599237972.41
760,1599238157.31
2400,1599238231.2
1820,1599238505.04
360,1599238742.85
580,1599239657.1
1040,1599239698.64
1780,1599240264.56
2620,1599240864.83
1620,1599241351.15
5040,1599241360.62
8760,1599244433.71
7100,1599244766.24
1400,1599245207.36
680,1599245260.58
3740,1599245433.6
8220,1599245599.32
760,1599246543.22
15520,1599248517.71
1880,1599248789.55
6780,1599248972.72
1040,1599249243.56
2900,1599249469.96
7300,1599250112.34
240,1599250861.81
2900,1599251645.09
320,1599252170.79
1360,1599252281.15
700,1599252360.12
180,1599252659.87
160,1599252733.12
1280,1599253445.91
1060,1599256031.06
8400,1599257146.72
280,1599258653.99
5780,1599259038.24
2100,1599260311.08
760,1599260335.92
1000,1599261039.8
1060,1599262073.07
80,1599262563.03
2520,1599263712.03
4740,1599263845.91
640,1599264387.59
4720,1599264509.47
1240,1599265247.2
5700,1599266178.9
1280,1599266920.74
5660,1599267286.36
3060,1599267466.63
800,1599267556.41
3100,1599267739.86
3020,1599268036.0
1560,1599268547.87
1620,1599269883.69
4120,1599270343.26
3680,1599275000.04
1680,1599275476.11
3960,1599276395.15
900,1599276442.43
1680,1599276664.84
920,1599276846.05
240,1599278497.33
100,1599279892.5
1920,1599280208.31
5440,1599280266.65
480,1599280494.48
10240,1599281990.28
100,1599284870.7
3040,1599285222.4
1120,1599285790.86
720,1599287015.44
120,1599287037.3
1760,1599287146.53
1940,1599287837.62
3320,1599288548.42
4380,1599288581.93
1100,1599289347.35
4180,1599289376.92
1360,1599289798.79
4020,1599290933.98
1140,1599291523.61
3100,1599292078.28
2280,1599293446.32
1280,1599294133.44
620,1599294596.94
8380,1599295099.54
2620,1599295359.8
60,1599296509.68
420,1599297233.67
60,1599297335.59
80,1599297335.59
4300,1599297378.04
1540,1599298518.27
2640,1599298632.24
2920,1599298899.27
680,1599299231.87
1060,1599299543.3
100,1599300055.83
960,1599300557.46
4260,1599301285.45
2100,1599303671.11
520,1599303891.84
4280,1599306509.66
260,1599306551.74
1020,1599306575.64
980,1599307020.3
560,1599307799.05
1460,1599307811.86
220,1599308901.69
2600,1599309230.55
1840,1599309314.47
1780,1599309612.87
4920,1599311480.79
1360,1599311847.39
1240,1599312369.84
400,1599312592.63
1580,1599313178.6
60,1599314026.98
2940,1599314319.79
3700,1599314762.99
280,1599314765.12
1440,1599315644.64
2580,1599316099.11
7940,1599316295.66
640,1599316333.04
6420,1599317568.39
1020,1599318815.38
2100,1599318815.38
5280,1599319349.89
6860,1599320559.01
1520,1599321116.21
2820,1599322218.41
640,1599323078.08
320,1599323464.0
5520,1599324121.24
540,1599325262.23
3960,1599326145.64
80,1599326590.7
3800,1599326674.03
5140,1599326757.65
6200,1599327764.75
2020,1599329751.97
60,1599330648.66
1260,1599330767.1
140,1599330947.1
2160,1599331346.07
2620,1599333681.62
740,1599334466.93
120,1599334557.4
2560,1599334944.78
180,1599335020.47
1780,1599335623.27
3040,1599336178.67
3420,1599336614.38
80,1599338369.83
740,1599339651.96
340,1599339663.6
880,1599340261.89
1400,1599340386.44
4020,1599341698.96
2260,1599341861.13
780,1599343658.52
2400,1599343722.22
1600,1599344278.09
3860,1599345091.94
2540,1599346093.99
4300,1599346304.44
4000,1599348146.36
1340,1599348580.85
800,1599348997.84
1460,1599349617.53
4920,1599349736.45
6220,1599351774.51
300,1599352440.63
800,1599352496.3
120,1599353064.97
420,1599353674.6
860,1599353926.11
680,1599354243.66
2860,1599354814.17
540,1599355485.25
900,1599357199.26
3940,1599357599.28
3600,1599358025.91
2400,1599358628.22
1280,1599360662.24
160,1599361494.0
640,1599362697.29
220,1599363880.28
7320,1599364200.5
3260,1599364961.59
2040,1599365069.73
2440,1599365105.03
800,1599366182.26
3640,1599366511.15
60,1599367225.06
240,1599367667.55
260,1599367776.6
1320,1599367952.04
7460,1599368132.44
1080,1599368174.89
4200,1599368245.38
2540,1599369455.18
1820,1599369621.64
340,1599370948.45
2800,1599371524.22
440,1599372163.65
60,1599372187.61
2700,1599372907.16
820,1599374222.67
1620,1599376675.39
780,1599377984.88
1760,1599378612.5
1900,1599378652.04
1200,1599379171.19
480,1599381445.71
1020,1599381565.48
1140,1599384402.86
3160,1599384987.95
2880,1599385103.92
1880,1599385276.73
360,1599385331.59
100,1599385612.18
480,1599386742.94
5180,1599387106.07
1160,1599387182.53
1940,1599388396.86
2100,1599389080.94
2060,1599389090.92
40,1599390184.22
160,1599391200.91
1980,1599391941.0
6600,1599393803.33
1840,1599394923.75
1060,1599395071.48
1200,1599395415.56
2440,1599395747.87
40,1599396350.1
1000,1599396727.75
1680,1599397916.2
320,1599398655.83
1820,1599399902.08
780,1599402505.38
4180,1599402800.69
1160,1599403605.96
960,1599405603.44
360,1599405718.02
60,1599406021.9
240,1599406864.54
6660,1599407107.94
360,1599407507.9
1140,1599408184.3
7440,1599410061.12
2100,1599410716.79
4240,1599410785.55
1100,1599410794.3
2600,1599411103.48
5480,1599411478.39
2960,1599411791.7
1760,1599412254.61
3480,1599412661.89
180,1599412871.76
2400,1599414179.4
60,1599415011.31
320,1599415290.93
1260,1599416652.02
400,1599416957.12
4600,1599417213.51
1520,1599418776.29
340,1599419420.56
2700,1599419585.24
2680,1599419606.21
200,1599419770.65
2300,1599419798.65
520,1599420167.63
19020,1599420403.21
660,1599421268.05
920,1599422208.93
3040,1599422256.22
4040,1599422735.36
2960,1599422949.81
460,1599423020.09
880,1599423287.36
980,1599424866.63
1080,1599425679.5
2940,1599425875.58
1260,1599425989.15
220,1599426044.56
2920,1599426848.1
140,1599428949.79
2840,1599429235.74
2540,1599430086.38
980,1599432220.97
2060,1599432637.35
580,1599432649.78
740,1599433915.9
480,1599433923.94
1640,1599434135.1
2820,1599435490.79
2140,1599436164.35
100,1599436195.87
440,1599436594.88
5700,1599436749.6
40,1599436971.9
4080,1599437374.98
1520,1599439181.87
120,1599439582.28
620,1599439668.58
1320,1599439822.77
340,1599440222.92
100,1599441242.24
540,1599441933.58
780,1599442900.45
1340,1599443803.72
13600,1599444842.24
2880,1599445736.45
1500,1599446596.79
700,1599447440.51
1640,1599447643.02
2620,1599447992.35
6700,1599448278.17
100,1599451302.32
2880,1599451324.66
540,1599451875.02
120,1599453405.2
120,1599454483.15
140,1599455032.77
3100,1599455529.06
1280,1599457216.77
3900,1599457414.56
1260,1599458416.95
8860,1599458570.59
520,1599458627.43
740,1599458652.42
140,1599459154.74
9980,1599459341.6
340,1599461198.43
8720,1599461471.99
1620,1599461600.51
180,1599461761.93
